Site4,Year,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow/Ice Depth,Full Date
HOU,1964,73,47,60,5,0,0,0,0,3/6/64
HOU,1964,72,63,67.5,0,2.5,0.02,0,0,3/7/64
HOU,1964,76,65,70.5,0,5.5,0,0,0,3/8/64
HOU,1964,68,44,56,9,0,0.04,0,0,3/9/64
HOU,1964,67,35,51,14,0,0,0,0,3/10/64
HOU,1964,70,41,55.5,9.5,0,0,0,0,3/11/64
HOU,1964,72,48,60,5,0,0,0,0,3/12/64
HOU,1964,72,60,66,0,1,0,0,0,3/13/64
HOU,1964,75,58,66.5,0,1.5,0.03,0,0,3/14/64
HOU,1964,73,49,61,4,0,0,0,0,3/15/64
HOU,1964,70,44,57,8,0,0,0,0,3/16/64
HOU,1964,76,49,62.5,2.5,0,0,0,0,3/17/64
HOU,1964,70,53,61.5,3.5,0,0.02,0,0,3/18/64
HOU,1964,77,57,67,0,2,1.13,0,0,3/19/64
HOU,1964,66,46,56,9,0,0,0,0,3/20/64
HOU,1964,62,39,50.5,14.5,0,0,0,0,3/21/64
HOU,1964,64,43,53.5,11.5,0,0,0,0,3/22/64
HOU,1964,70,56,63,2,0,0,0,0,3/23/64
HOU,1964,71,65,68,0,3,0,0,0,3/24/64
HOU,1964,77,56,66.5,0,1.5,0,0,0,3/25/64
HOU,1964,66,42,54,11,0,0,0,0,3/26/64
HOU,1964,69,44,56.5,8.5,0,0.02,0,0,3/27/64
HOU,1964,78,60,69,0,4,0,0,0,3/28/64
HOU,1964,73,55,64,1,0,0,0,0,3/29/64
HOU,1964,67,51,59,6,0,0,0,0,3/30/64
HOU,1964,75,46,60.5,4.5,0,0,0,0,3/31/64
HOU,1964,77,55,66,0,1,0,0,0,4/1/64
HOU,1964,74,66,70,0,5,0,0,0,4/2/64
HOU,1964,81,68,74.5,0,9.5,0,0,0,4/3/64
HOU,1964,78,67,72.5,0,7.5,0.05,0,0,4/4/64
HOU,1964,75,59,67,0,2,0.33,0,0,4/5/64
HOU,1964,76,58,67,0,2,0,0,0,4/6/64
HOU,1964,75,63,69,0,4,0.01,0,0,4/7/64
HOU,1964,66,51,58.5,6.5,0,0,0,0,4/8/64
HOU,1964,68,46,57,8,0,0,0,0,4/9/64
HOU,1964,72,47,59.5,5.5,0,0,0,0,4/10/64
HOU,1964,76,61,68.5,0,3.5,0,0,0,4/11/64
HOU,1964,84,69,76.5,0,11.5,0,0,0,4/12/64
HOU,1964,75,61,68,0,3,0.15,0,0,4/13/64
HOU,1964,78,57,67.5,0,2.5,0,0,0,4/14/64
HOU,1964,78,56,67,0,2,0,0,0,4/15/64
HOU,1964,75,56,65.5,0,0.5,0,0,0,4/16/64
HOU,1964,78,62,70,0,5,0.05,0,0,4/17/64
HOU,1964,80,69,74.5,0,9.5,0,0,0,4/18/64
HOU,1964,83,69,76,0,11,0,0,0,4/19/64
HOU,1964,84,72,78,0,13,0,0,0,4/20/64
HOU,1964,82,71,76.5,0,11.5,0,0,0,4/21/64
HOU,1964,82,72,77,0,12,0,0,0,4/22/64
HOU,1964,83,71,77,0,12,0,0,0,4/23/64
HOU,1964,86,73,79.5,0,14.5,0,0,0,4/24/64
HOU,1964,75,65,70,0,5,0.81,0,0,4/25/64
HOU,1964,80,58,69,0,4,0.23,0,0,4/26/64
HOU,1964,88,56,72,0,7,0,0,0,4/27/64
HOU,1964,85,65,75,0,10,0,0,0,4/28/64
HOU,1964,77,59,68,0,3,0,0,0,4/29/64
HOU,1964,76,62,69,0,4,0,0,0,4/30/64
HOU,1964,80,66,73,0,8,0.56,0,0,5/1/64
HOU,1964,92,61,76.5,0,11.5,0,0,0,5/2/64
HOU,1964,84,68,76,0,11,0,0,0,5/3/64
HOU,1964,77,66,71.5,0,6.5,0,0,0,5/4/64
HOU,1964,77,70,73.5,0,8.5,0,0,0,5/5/64
HOU,1964,80,71,75.5,0,10.5,0,0,0,5/6/64
HOU,1964,84,71,77.5,0,12.5,0,0,0,5/7/64
HOU,1964,86,72,79,0,14,0,0,0,5/8/64
HOU,1964,85,69,77,0,12,0,0,0,5/9/64
HOU,1964,86,69,77.5,0,12.5,0,0,0,5/10/64
HOU,1964,85,72,78.5,0,13.5,0.35,0,0,5/11/64
HOU,1964,90,69,79.5,0,14.5,0,0,0,5/12/64
HOU,1964,83,64,73.5,0,8.5,0,0,0,5/13/64
HOU,1964,83,56,69.5,0,4.5,0,0,0,5/14/64
HOU,1964,82,60,71,0,6,0,0,0,5/15/64
HOU,1964,82,61,71.5,0,6.5,0,0,0,5/16/64
HOU,1964,84,62,73,0,8,0,0,0,5/17/64
HOU,1964,84,65,74.5,0,9.5,0.15,0,0,5/18/64
HOU,1964,84,65,74.5,0,9.5,0,0,0,5/19/64
HOU,1964,86,66,76,0,11,0,0,0,5/20/64
HOU,1964,85,67,76,0,11,0,0,0,5/21/64
HOU,1964,83,67,75,0,10,0,0,0,5/22/64
HOU,1964,86,71,78.5,0,13.5,0.26,0,0,5/23/64
HOU,1964,81,72,76.5,0,11.5,0,0,0,5/24/64
HOU,1964,87,71,79,0,14,0,0,0,5/25/64
HOU,1964,88,69,78.5,0,13.5,0,0,0,5/26/64
HOU,1964,89,68,78.5,0,13.5,0,0,0,5/27/64
HOU,1964,91,68,79.5,0,14.5,0,0,0,5/28/64
HOU,1964,89,72,80.5,0,15.5,0,0,0,5/29/64
HOU,1964,86,70,78,0,13,0.05,0,0,5/30/64
HOU,1964,77,63,70,0,5,0.88,0,0,5/31/64
HOU,1964,78,59,68.5,0,3.5,0,0,0,6/1/64
HOU,1964,81,59,70,0,5,0,0,0,6/2/64
HOU,1964,83,59,71,0,6,0,0,0,6/3/64
HOU,1964,85,64,74.5,0,9.5,0,0,0,6/4/64
HOU,1964,86,62,74,0,9,0,0,0,6/5/64
HOU,1964,91,67,79,0,14,0,0,0,6/6/64
HOU,1964,90,70,80,0,15,0,0,0,6/7/64
HOU,1964,90,71,80.5,0,15.5,0,0,0,6/8/64
HOU,1964,91,78,84.5,0,19.5,0,0,0,6/9/64
HOU,1964,92,76,84,0,19,0,0,0,6/10/64
HOU,1964,91,74,82.5,0,17.5,0,0,0,6/11/64
HOU,1964,91,72,81.5,0,16.5,0,0,0,6/12/64
HOU,1964,92,72,82,0,17,0,0,0,6/13/64
HOU,1964,88,74,81,0,16,0,0,0,6/14/64
HOU,1964,87,70,78.5,0,13.5,0.94,0,0,6/15/64
HOU,1964,88,77,82.5,0,17.5,0.02,0,0,6/16/64
HOU,1964,90,77,83.5,0,18.5,0,0,0,6/17/64
HOU,1964,90,76,83,0,18,0,0,0,6/18/64
HOU,1964,92,75,83.5,0,18.5,0,0,0,6/19/64
HOU,1964,92,74,83,0,18,0,0,0,6/20/64
HOU,1964,93,73,83,0,18,0,0,0,6/21/64
HOU,1964,94,72,83,0,18,0,0,0,6/22/64
HOU,1964,94,71,82.5,0,17.5,0,0,0,6/23/64
HOU,1964,96,74,85,0,20,0.01,0,0,6/24/64
HOU,1964,92,74,83,0,18,0,0,0,6/25/64
HOU,1964,91,74,82.5,0,17.5,0.31,0,0,6/26/64
HOU,1964,93,73,83,0,18,0,0,0,6/27/64
HOU,1964,88,75,81.5,0,16.5,0.61,0,0,6/28/64
HOU,1964,87,74,80.5,0,15.5,0,0,0,6/29/64
HOU,1964,86,74,80,0,15,0,0,0,6/30/64
HOU,1964,89,72,80.5,0,15.5,0,0,0,7/1/64
HOU,1964,91,71,81,0,16,0,0,0,7/2/64
HOU,1964,93,71,82,0,17,0,0,0,7/3/64
HOU,1964,93,74,83.5,0,18.5,0,0,0,7/4/64
HOU,1964,94,73,83.5,0,18.5,0,0,0,7/5/64
HOU,1964,96,74,85,0,20,0,0,0,7/6/64
HOU,1964,95,75,85,0,20,0,0,0,7/7/64
HOU,1964,95,75,85,0,20,0,0,0,7/8/64
HOU,1964,99,72,85.5,0,20.5,0,0,0,7/9/64
HOU,1964,100,75,87.5,0,22.5,0,0,0,7/10/64
HOU,1964,99,77,88,0,23,0,0,0,7/11/64
HOU,1964,98,74,86,0,21,0.02,0,0,7/12/64
HOU,1964,92,73,82.5,0,17.5,0,0,0,7/13/64
HOU,1964,93,70,81.5,0,16.5,0,0,0,7/14/64
HOU,1964,95,72,83.5,0,18.5,0,0,0,7/15/64
HOU,1964,94,75,84.5,0,19.5,0,0,0,7/16/64
HOU,1964,91,73,82,0,17,0,0,0,7/17/64
HOU,1964,91,74,82.5,0,17.5,0.03,0,0,7/18/64
HOU,1964,90,73,81.5,0,16.5,0.02,0,0,7/19/64
HOU,1964,95,73,84,0,19,0,0,0,7/20/64
HOU,1964,92,74,83,0,18,0,0,0,7/21/64
HOU,1964,95,72,83.5,0,18.5,0.09,0,0,7/22/64
HOU,1964,96,74,85,0,20,0,0,0,7/23/64
HOU,1964,98,75,86.5,0,21.5,0,0,0,7/24/64
HOU,1964,101,70,85.5,0,20.5,0.87,0,0,7/25/64
HOU,1964,95,73,84,0,19,0,0,0,7/26/64
HOU,1964,95,76,85.5,0,20.5,0.04,0,0,7/27/64
HOU,1964,87,76,81.5,0,16.5,0.6,0,0,7/28/64
HOU,1964,84,76,80,0,15,0,0,0,7/29/64
HOU,1964,90,76,83,0,18,0.01,0,0,7/30/64
HOU,1964,93,74,83.5,0,18.5,0,0,0,7/31/64
HOU,1964,94,76,85,0,20,0,0,0,8/1/64
HOU,1964,94,76,85,0,20,0.01,0,0,8/2/64
HOU,1964,95,74,84.5,0,19.5,0,0,0,8/3/64
HOU,1964,98,74,86,0,21,0,0,0,8/4/64
HOU,1964,100,74,87,0,22,0.12,0,0,8/5/64
HOU,1964,96,74,85,0,20,0,0,0,8/6/64
HOU,1964,87,77,82,0,17,0.56,0,0,8/7/64
HOU,1964,90,75,82.5,0,17.5,0.21,0,0,8/8/64
HOU,1964,94,76,85,0,20,0,0,0,8/9/64
HOU,1964,95,75,85,0,20,0,0,0,8/10/64
HOU,1964,95,75,85,0,20,0,0,0,8/11/64
HOU,1964,97,75,86,0,21,0,0,0,8/12/64
HOU,1964,95,77,86,0,21,0.02,0,0,8/13/64
HOU,1964,94,76,85,0,20,0,0,0,8/14/64
HOU,1964,96,76,86,0,21,0,0,0,8/15/64
HOU,1964,94,76,85,0,20,0.01,0,0,8/16/64
HOU,1964,97,75,86,0,21,0,0,0,8/17/64
HOU,1964,98,74,86,0,21,0,0,0,8/18/64
HOU,1964,97,75,86,0,21,0,0,0,8/19/64
HOU,1964,93,76,84.5,0,19.5,0,0,0,8/20/64
HOU,1964,96,77,86.5,0,21.5,0,0,0,8/21/64
HOU,1964,89,74,81.5,0,16.5,1.1,0,0,8/22/64
HOU,1964,87,74,80.5,0,15.5,0.24,0,0,8/23/64
HOU,1964,85,74,79.5,0,14.5,0.16,0,0,8/24/64
HOU,1964,91,75,83,0,18,0.02,0,0,8/25/64
HOU,1964,91,75,83,0,18,0.16,0,0,8/26/64
HOU,1964,93,73,83,0,18,0,0,0,8/27/64
HOU,1964,94,76,85,0,20,0,0,0,8/28/64
HOU,1964,92,75,83.5,0,18.5,0,0,0,8/29/64
HOU,1964,93,74,83.5,0,18.5,0,0,0,8/30/64
HOU,1964,92,75,83.5,0,18.5,0,0,0,8/31/64
HOU,1964,94,75,84.5,0,19.5,0,0,0,9/1/64
HOU,1964,96,77,86.5,0,21.5,0,0,0,9/2/64
HOU,1964,92,76,84,0,19,0.58,0,0,9/3/64
HOU,1964,94,75,84.5,0,19.5,0,0,0,9/4/64
HOU,1964,90,72,81,0,16,0.11,0,0,9/5/64
HOU,1964,90,72,81,0,16,0,0,0,9/6/64
HOU,1964,91,74,82.5,0,17.5,0,0,0,9/7/64
HOU,1964,93,75,84,0,19,0,0,0,9/8/64
HOU,1964,92,75,83.5,0,18.5,0.01,0,0,9/9/64
HOU,1964,92,75,83.5,0,18.5,0.04,0,0,9/10/64
HOU,1964,96,75,85.5,0,20.5,0.01,0,0,9/11/64
HOU,1964,88,76,82,0,17,0.05,0,0,9/12/64
HOU,1964,88,64,76,0,11,0,0,0,9/13/64
HOU,1964,87,65,76,0,11,0,0,0,9/14/64
HOU,1964,90,66,78,0,13,0,0,0,9/15/64
HOU,1964,85,72,78.5,0,13.5,1.42,0,0,9/16/64
HOU,1964,76,68,72,0,7,1.9,0,0,9/17/64
HOU,1964,87,67,77,0,12,0.14,0,0,9/18/64
HOU,1964,88,73,80.5,0,15.5,0.14,0,0,9/19/64
HOU,1964,88,73,80.5,0,15.5,0,0,0,9/20/64
HOU,1964,87,75,81,0,16,0.07,0,0,9/21/64
HOU,1964,90,73,81.5,0,16.5,0,0,0,9/22/64
HOU,1964,89,71,80,0,15,0,0,0,9/23/64
HOU,1964,85,69,77,0,12,0,0,0,9/24/64
HOU,1964,84,65,74.5,0,9.5,0,0,0,9/25/64
HOU,1964,87,72,79.5,0,14.5,0.78,0,0,9/26/64
HOU,1964,87,67,77,0,12,0.2,0,0,9/27/64
HOU,1964,74,63,68.5,0,3.5,0,0,0,9/28/64
HOU,1964,70,65,67.5,0,2.5,1.31,0,0,9/29/64
HOU,1964,76,67,71.5,0,6.5,0,0,0,9/30/64
HOU,1964,80,69,74.5,0,9.5,0,0,0,10/1/64
HOU,1964,88,72,80,0,15,0,0,0,10/2/64
HOU,1964,89,72,80.5,0,15.5,0,0,0,10/3/64
HOU,1964,86,63,74.5,0,9.5,0,0,0,10/4/64
HOU,1964,74,56,65,0,0,0,0,0,10/5/64
HOU,1964,72,48,60,5,0,0,0,0,10/6/64
HOU,1964,70,49,59.5,5.5,0,0,0,0,10/7/64
HOU,1964,79,49,64,1,0,0,0,0,10/8/64
HOU,1964,82,56,69,0,4,0,0,0,10/9/64
HOU,1964,74,51,62.5,2.5,0,0,0,0,10/10/64
HOU,1964,75,48,61.5,3.5,0,0,0,0,10/11/64
HOU,1964,79,52,65.5,0,0.5,0,0,0,10/12/64
HOU,1964,78,56,67,0,2,0,0,0,10/13/64
HOU,1964,78,54,66,0,1,0,0,0,10/14/64
HOU,1964,80,52,66,0,1,0,0,0,10/15/64
HOU,1964,82,52,67,0,2,0,0,0,10/16/64
HOU,1964,85,55,70,0,5,0,0,0,10/17/64
HOU,1964,86,59,72.5,0,7.5,0,0,0,10/18/64
HOU,1964,70,49,59.5,5.5,0,0,0,0,10/19/64
HOU,1964,74,38,56,9,0,0,0,0,10/20/64
HOU,1964,79,48,63.5,1.5,0,0,0,0,10/21/64
HOU,1964,79,50,64.5,0.5,0,0,0,0,10/22/64
HOU,1964,81,55,68,0,3,0,0,0,10/23/64
HOU,1964,81,54,67.5,0,2.5,0,0,0,10/24/64
HOU,1964,76,54,65,0,0,0.57,0,0,10/25/64
HOU,1964,78,63,70.5,0,5.5,0.59,0,0,10/26/64
HOU,1964,81,64,72.5,0,7.5,1.19,0,0,10/27/64
HOU,1964,83,63,73,0,8,0,0,0,10/28/64
HOU,1964,85,63,74,0,9,0,0,0,10/29/64
HOU,1964,83,60,71.5,0,6.5,0,0,0,10/30/64
HOU,1964,81,58,69.5,0,4.5,0,0,0,10/31/64
HOU,1964,81,57,69,0,4,0,0,0,11/1/64
HOU,1964,81,60,70.5,0,5.5,0,0,0,11/2/64
HOU,1964,81,62,71.5,0,6.5,0,0,0,11/3/64
HOU,1964,77,62,69.5,0,4.5,2.29,0,0,11/4/64
HOU,1964,69,63,66,0,1,0.55,0,0,11/5/64
HOU,1964,65,53,59,6,0,0.31,0,0,11/6/64
HOU,1964,78,50,64,1,0,0,0,0,11/7/64
HOU,1964,78,53,65.5,0,0.5,0,0,0,11/8/64
HOU,1964,77,52,64.5,0.5,0,0,0,0,11/9/64
HOU,1964,78,52,65,0,0,0,0,0,11/10/64
HOU,1964,82,57,69.5,0,4.5,0,0,0,11/11/64
HOU,1964,83,65,74,0,9,0.47,0,0,11/12/64
HOU,1964,80,64,72,0,7,0,0,0,11/13/64
HOU,1964,82,71,76.5,0,11.5,0.05,0,0,11/14/64
HOU,1964,83,71,77,0,12,0.01,0,0,11/15/64
HOU,1964,84,72,78,0,13,0,0,0,11/16/64
HOU,1964,85,68,76.5,0,11.5,0,0,0,11/17/64
HOU,1964,84,65,74.5,0,9.5,0,0,0,11/18/64
HOU,1964,76,43,59.5,5.5,0,0.47,0,0,11/19/64
HOU,1964,56,42,49,16,0,0,0,0,11/20/64
HOU,1964,60,42,51,14,0,0,0,0,11/21/64
HOU,1964,51,38,44.5,20.5,0,0,0,0,11/22/64
HOU,1964,60,34,47,18,0,0,0,0,11/23/64
HOU,1964,70,45,57.5,7.5,0,0.12,0,0,11/24/64
HOU,1964,73,39,56,9,0,0,0,0,11/25/64
HOU,1964,84,51,67.5,0,2.5,0,0,0,11/26/64
HOU,1964,83,72,77.5,0,12.5,0.01,0,0,11/27/64
HOU,1964,76,57,66.5,0,1.5,0,0,0,11/28/64
HOU,1964,73,50,61.5,3.5,0,0,0,0,11/29/64
HOU,1964,59,41,50,15,0,0,0,0,11/30/64
HOU,1964,65,34,49.5,15.5,0,0,0,0,12/1/64
HOU,1964,76,64,70,0,5,0,0,0,12/2/64
HOU,1964,81,50,65.5,0,0.5,0.08,0,0,12/3/64
HOU,1964,52,39,45.5,19.5,0,0,0,0,12/4/64
HOU,1964,48,35,41.5,23.5,0,0,0,0,12/5/64
HOU,1964,51,32,41.5,23.5,0,0,0,0,12/6/64
HOU,1964,53,35,44,21,0,0,0,0,12/7/64
HOU,1964,51,46,48.5,16.5,0,0.11,0,0,12/8/64
HOU,1964,60,47,53.5,11.5,0,1.68,0,0,12/9/64
HOU,1964,60,57,58.5,6.5,0,3.26,0,0,12/10/64
HOU,1964,66,51,58.5,6.5,0,0.01,0,0,12/11/64
HOU,1964,72,44,58,7,0,0,0,0,12/12/64
HOU,1964,58,43,50.5,14.5,0,0,0,0,12/13/64
HOU,1964,60,33,46.5,18.5,0,0,0,0,12/14/64
HOU,1964,63,31,47,18,0,0,0,0,12/15/64
HOU,1964,75,45,60,5,0,0,0,0,12/16/64
HOU,1964,71,32,51.5,13.5,0,0.25,0,0,12/17/64
HOU,1964,43,31,37,28,0,0,0,0,12/18/64
HOU,1964,42,35,38.5,26.5,0,0.01,0,0,12/19/64
HOU,1964,54,41,47.5,17.5,0,0.15,0,0,12/20/64
HOU,1964,69,51,60,5,0,0.01,0,0,12/21/64
HOU,1964,71,57,64,1,0,0.01,0,0,12/22/64
HOU,1964,80,63,71.5,0,6.5,0,0,0,12/23/64
HOU,1964,80,58,69,0,4,0,0,0,12/24/64
HOU,1964,82,52,67,0,2,0,0,0,12/25/64
HOU,1964,70,48,59,6,0,0,0,0,12/26/64
HOU,1964,60,40,50,15,0,0,0,0,12/27/64
HOU,1964,75,50,62.5,2.5,0,0,0,0,12/28/64
HOU,1964,79,61,70,0,5,0,0,0,12/29/64
HOU,1964,82,68,75,0,10,0,0,0,12/30/64
HOU,1964,80,61,70.5,0,5.5,0,0,0,12/31/64
HOU,1965,79,59,69,0,4,0,0,0,1/1/65
HOU,1965,82,65,73.5,0,8.5,0.07,0,0,1/2/65
HOU,1965,65,49,57,8,0,0.78,0,0,1/3/65
HOU,1965,62,43,52.5,12.5,0,0,0,0,1/4/65
HOU,1965,71,43,57,8,0,0,0,0,1/5/65
HOU,1965,76,56,66,0,1,0,0,0,1/6/65
HOU,1965,79,61,70,0,5,0,0,0,1/7/65
HOU,1965,79,55,67,0,2,0,0,0,1/8/65
HOU,1965,73,37,55,10,0,0.26,0,0,1/9/65
HOU,1965,44,34,39,26,0,0,0,0,1/10/65
HOU,1965,53,37,45,20,0,0,0,0,1/11/65
HOU,1965,62,38,50,15,0,0,0,0,1/12/65
HOU,1965,67,55,61,4,0,0.01,0,0,1/13/65
HOU,1965,68,52,60,5,0,0,0,0,1/14/65
HOU,1965,72,47,59.5,5.5,0,0,0,0,1/15/65
HOU,1965,51,32,41.5,23.5,0,0,0,0,1/16/65
HOU,1965,49,23,36,29,0,0,0,0,1/17/65
HOU,1965,65,31,48,17,0,0,0,0,1/18/65
HOU,1965,69,36,52.5,12.5,0,0,0,0,1/19/65
HOU,1965,72,46,59,6,0,0,0,0,1/20/65
HOU,1965,75,58,66.5,0,1.5,0,0,0,1/21/65
HOU,1965,78,61,69.5,0,4.5,0.75,0,0,1/22/65
HOU,1965,69,47,58,7,0,0,0,0,1/23/65
HOU,1965,62,40,51,14,0,0,0,0,1/24/65
HOU,1965,75,44,59.5,5.5,0,0,0,0,1/25/65
HOU,1965,65,44,54.5,10.5,0,0,0,0,1/26/65
HOU,1965,59,35,47,18,0,0,0,0,1/27/65
HOU,1965,70,35,52.5,12.5,0,0,0,0,1/28/65
HOU,1965,76,45,60.5,4.5,0,0,0,0,1/29/65
HOU,1965,67,41,54,11,0,0,0,0,1/30/65
HOU,1965,60,31,45.5,19.5,0,0,0,0,1/31/65
HOU,1965,65,43,54,11,0,0,0,0,2/1/65
HOU,1965,54,34,44,21,0,0,0,0,2/2/65
HOU,1965,51,42,46.5,18.5,0,0,0,0,2/3/65
HOU,1965,52,45,48.5,16.5,0,0,0,0,2/4/65
HOU,1965,60,49,54.5,10.5,0,0.01,0,0,2/5/65
HOU,1965,67,57,62,3,0,0.01,0,0,2/6/65
HOU,1965,74,58,66,0,1,0.02,0,0,2/7/65
HOU,1965,80,64,72,0,7,0,0,0,2/8/65
HOU,1965,74,51,62.5,2.5,0,0.8,0,0,2/9/65
HOU,1965,69,49,59,6,0,0.02,0,0,2/10/65
HOU,1965,77,53,65,0,0,0.45,0,0,2/11/65
HOU,1965,56,40,48,17,0,0,0,0,2/12/65
HOU,1965,50,35,42.5,22.5,0,0,0,0,2/13/65
HOU,1965,57,33,45,20,0,0,0,0,2/14/65
HOU,1965,65,36,50.5,14.5,0,0,0,0,2/15/65
HOU,1965,56,50,53,12,0,1.42,0,0,2/16/65
HOU,1965,58,49,53.5,11.5,0,0.13,0,0,2/17/65
HOU,1965,69,49,59,6,0,0,0,0,2/18/65
HOU,1965,73,46,59.5,5.5,0,0,0,0,2/19/65
HOU,1965,72,48,60,5,0,0,0,0,2/20/65
HOU,1965,78,47,62.5,2.5,0,0,0,0,2/21/65
HOU,1965,60,46,53,12,0,0,0,0,2/22/65
HOU,1965,74,44,59,6,0,0.31,0,0,2/23/65
HOU,1965,44,26,35,30,0,0.05,0,0,2/24/65
HOU,1965,61,28,44.5,20.5,0,0,0,0,2/25/65
HOU,1965,70,36,53,12,0,0,0,0,2/26/65
HOU,1965,77,46,61.5,3.5,0,0,0,0,2/27/65
HOU,1965,73,61,67,0,2,0.05,0,0,2/28/65
HOU,1965,78,45,61.5,3.5,0,0.08,0,0,3/1/65
HOU,1965,50,38,44,21,0,0,0,0,3/2/65
HOU,1965,50,34,42,23,0,0,0,0,3/3/65
HOU,1965,56,28,42,23,0,0,0,0,3/4/65
HOU,1965,62,34,48,17,0,0,0,0,3/5/65
HOU,1965,67,36,51.5,13.5,0,0,0,0,3/6/65
HOU,1965,62,40,51,14,0,0,0,0,3/7/65
HOU,1965,68,36,52,13,0,0,0,0,3/8/65
HOU,1965,82,48,65,0,0,0,0,0,3/9/65
HOU,1965,84,56,70,0,5,0,0,0,3/10/65
HOU,1965,78,64,71,0,6,0,0,0,3/11/65
HOU,1965,82,60,71,0,6,0,0,0,3/12/65
HOU,1965,67,53,60,5,0,0,0,0,3/13/65
HOU,1965,79,47,63,2,0,0,0,0,3/14/65
HOU,1965,80,58,69,0,4,0,0,0,3/15/65
HOU,1965,75,62,68.5,0,3.5,0,0,0,3/16/65
